game,language,assign_edges,assign_edges_diff,average_branching,average_branching_diff,comparison_edges,comparison_edges_diff,constants,constants_diff,edges,edges_diff,main_automaton_nodes,main_automaton_nodes_diff,max_branching,max_branching_diff,nodes,nodes_diff,reachability_edges,reachability_edges_diff,reachability_subautomatons,reachability_subautomatons_diff,skip_edges,skip_edges_diff,state_size,state_size_diff,tag_edges,tag_edges_diff,variables,variables_diff
oware,hrg,203,-2.96,1.2523540489642184,7.83,262,-8.4,7,0.0,665,-24.66,312,-27.24,6,-16.67,533,-30.02,2,0.0,1,0.0,119,-60.5,1032,0.0,79,-81.01,15,0.0
chess_kingCapture,hrg,308,-41.23,1.2181391712275216,29.65,268,0.0,33,-3.03,1558,-53.98,1274,-64.44,8,0.0,1281,-64.4,2,0.0,1,0.0,695,-66.19,1429,-0.56,285,-89.12,11,-9.09
dotsAndBoxes,hrg,18,-5.56,1.2040816326530612,9.84,20,0.0,6,0.0,59,-30.51,44,-31.82,2,0.0,51,-35.29,2,0.0,1,0.0,18,-94.44,898,0.0,1,0.0,8,0.0
gomoku_standard,hrg,50,-70.0,1.1308411214953271,10.02,188,0.0,8,400.0,363,-41.05,40,-42.5,4,100.0,326,-45.71,8,0.0,4,0.0,115,-99.13,103312,-98.89,2,0.0,12,-58.33
satSolver,hrg,8,0.0,1.1785714285714286,8.42,8,0.0,0,0.0,33,-30.3,18,-27.78,3,0.0,31,-32.26,4,0.0,2,0.0,10,-100.0,19,0.0,3,0.0,5,0.0
diceThrowGuess,hrg,6,0.0,1.0,0.0,0,0.0,1,0.0,10,-20.0,10,-10.0,1,0.0,11,-18.18,0,0.0,0,0.0,2,-100.0,19,0.0,2,0.0,5,0.0
englishDraughts,hrg,61,-14.75,1.1595744680851063,12.64,48,-2.08,14,28.57,218,-41.28,123,-41.46,4,0.0,193,-46.63,8,0.0,4,0.0,81,-98.77,268,0.0,20,0.0,7,0.0
bombardment,hrg,23,0.0,1.1020408163265305,4.92,5,0.0,21,-4.76,54,-31.48,43,-30.23,4,0.0,51,-33.33,2,0.0,1,0.0,18,-77.78,341,0.0,6,-50.0,7,0.0
backgammon,hrg,2198,-66.38,1.106226507599281,14.4,1804,-10.09,16,0.0,6769,-60.14,2894,-59.47,3,0.0,6144,-64.93,44,-9.09,24,-8.33,2157,-95.6,1208,-13.99,566,-64.31,38,-71.05
chess,hrg,624,-43.59,1.2287457110179183,34.15,577,-0.35,33,18.18,3223,-55.35,1280,-64.06,12,0.0,2631,-66.59,12,0.0,10,-50.0,1446,-67.57,1429,0.0,564,-94.5,11,0.0
englishDraughts_lud,hrg,61,-16.39,1.1595744680851063,12.91,48,-2.08,14,28.57,218,-41.74,123,-42.28,4,0.0,193,-47.15,8,0.0,4,0.0,81,-98.77,1498,0.0,20,0.0,7,0.0
foxAndGeese,hrg,81,-32.1,1.1851851851851851,10.95,63,0.0,11,54.55,256,-34.77,139,-29.5,16,0.0,219,-40.64,4,0.0,2,0.0,61,-34.43,317,-0.63,47,-89.36,7,-14.29
amazons,hrg,154,0.0,1.2122762148337596,10.87,154,0.0,10,0.0,948,-38.19,768,-43.49,8,0.0,784,-44.13,2,0.0,1,0.0,491,-44.4,519,0.0,147,-97.96,6,0.0
ultimateTicTacToe,hrg,50,-14.0,1.1490683229813663,7.91,58,0.0,5,60.0,185,-32.97,80,-31.25,4,0.0,170,-35.88,16,0.0,8,0.0,55,-98.18,396,-0.51,6,0.0,12,-8.33
breakthrough,hrg,12,0.0,1.131578947368421,8.46,7,0.0,13,-7.69,43,-37.21,33,-36.36,3,0.0,40,-40.0,2,0.0,1,0.0,17,-76.47,339,0.0,5,-60.0,6,0.0
pentago,hrg,204,-11.27,1.0819030412526347,27.74,1284,-40.5,1,-100.0,3593,-72.61,256,-23.05,32,-71.88,3332,-78.3,20,0.0,10,0.0,2067,-99.95,167,-3.59,18,0.0,9,-33.33
battleships,hrg,152,-7.24,1.0689655172413792,1.81,86,0.0,4,125.0,341,-20.53,318,-21.38,6,0.0,320,-21.88,0,0.0,0,0.0,49,-100.0,2952,-0.14,54,-18.52,8,-25.0
connect4,hrg,15,-6.67,1.223529411764706,20.55,39,0.0,5,340.0,104,-43.27,44,-45.45,7,0.0,88,-51.14,4,0.0,2,0.0,45,-97.78,231,0.0,1,0.0,6,0.0
amazons_split2,hrg,156,0.0,1.211734693877551,10.79,154,0.0,11,-9.09,950,-38.11,770,-43.38,8,0.0,786,-44.02,2,0.0,1,0.0,491,-44.4,519,0.0,147,-97.96,6,0.0
ticTacToe,hrg,19,-26.32,1.125,8.96,13,0.0,5,60.0,63,-39.68,36,-36.11,4,0.0,59,-42.37,8,0.0,4,-50.0,21,-95.24,52,-3.85,2,0.0,6,-16.67
pentago_split,hrg,206,-15.05,1.173580089342693,18.04,1284,-40.5,1,-100.0,1839,-46.82,246,-22.36,32,-71.88,1578,-54.56,20,0.0,10,0.0,311,-99.68,167,-3.59,18,0.0,9,-33.33
ticTacDie,hrg,24,-29.17,1.1333333333333333,9.24,24,0.0,5,60.0,85,-38.82,40,-37.5,4,0.0,80,-41.25,8,0.0,4,0.0,27,-96.3,142,-1.41,2,0.0,8,-12.5
turingMachine,hrg,26,-11.54,1.0886075949367089,9.24,20,-20.0,1,0.0,86,-48.84,74,-48.65,4,-50.0,80,-52.5,0,0.0,0,0.0,36,-97.22,54,0.0,4,0.0,7,0.0
twentyOne,hrg,20,-10.0,1.1538461538461535,5.93,9,0.0,7,-14.29,45,-26.67,38,-26.32,2,0.0,40,-30.0,0,0.0,0,0.0,11,-90.91,238,0.0,5,0.0,7,0.0
clobber,hrg,15,0.0,1.1590909090909092,8.64,10,0.0,6,16.67,51,-33.33,33,-27.27,4,0.0,46,-36.96,2,0.0,1,0.0,18,-72.22,420,0.0,6,-66.67,7,0.0
ataxx,hrg,76,0.0,1.3243243243243243,33.59,30,0.0,29,3.45,245,-43.67,124,-41.94,24,0.0,188,-56.91,4,0.0,2,0.0,84,-96.43,420,0.0,51,-50.98,11,0.0
knightthrough,hrg,14,0.0,1.125,7.41,6,0.0,19,-5.26,45,-35.56,35,-34.29,4,0.0,42,-38.1,2,0.0,1,0.0,17,-70.59,341,0.0,6,-66.67,7,0.0
gomoku_freeStyle,hrg,50,-70.0,1.1686746987951808,21.51,116,0.0,8,300.0,291,-51.2,40,-42.5,4,100.0,254,-58.66,8,0.0,4,0.0,115,-99.13,103312,-98.89,2,0.0,12,-58.33
alquerque,hrg,84,-35.71,1.2024291497975708,16.97,92,0.0,14,57.14,297,-41.75,174,-41.95,8,0.0,251,-49.4,6,0.0,3,0.0,93,-96.77,273,0.0,22,-18.18,8,0.0
englishDraughts_split,hrg,63,-14.29,1.1578947368421053,12.27,48,-2.08,14,28.57,220,-40.91,125,-40.8,4,0.0,195,-46.15,8,0.0,4,0.0,81,-98.77,268,0.0,20,0.0,7,0.0
diceThrowCompare,hrg,10,0.0,1.0,0.0,0,0.0,1,0.0,14,-14.29,14,-7.14,1,0.0,15,-13.33,0,0.0,0,0.0,2,-100.0,26,0.0,2,0.0,5,0.0
ticTacToe,kif,151,-19.21,1.4543650793650793,-5.67,439,-61.73,0,0.0,733,-48.16,216,-14.81,16,-43.75,578,-46.54,113,-38.94,73,-57.53,10,-90.0,150,0.0,20,0.0,63,0.0
connect4,kif,431,-23.2,1.2597315436241612,9.56,988,-25.91,0,0.0,1877,-25.15,563,-15.81,88,-85.23,1673,-31.74,432,-24.77,182,-32.42,10,-90.0,430,0.0,16,0.0,205,0.0
montyHall,kif,76,-19.74,1.2215909090909092,7.15,76,-10.53,0,0.0,215,-25.12,117,-11.97,7,-57.14,204,-34.8,40,-55.0,27,-66.67,11,-81.82,75,-2.67,12,0.0,31,-3.23
